OBJECTID,FID_OutputLines,FID_Intersections
1,1,1
2,1,2
3,2,3
4,2,4
5,79,71
6,79,72
7,128,2103
8,128,2104
9,144,107
10,144,108
11,185,1835
12,185,1836
13,381,219
14,381,220
15,471,2101
16,471,2102
17,576,1015
18,576,1016
19,585,367
20,585,368
21,681,397
22,681,398
23,684,399
24,684,400
25,685,389
26,685,390
27,860,477
28,860,478
29,863,479
30,863,480
31,937,371
32,937,372
33,947,961
34,947,962
35,958,539
36,958,540
37,1008,587
38,1008,588
39,1016,589
40,1016,590
41,1025,601
42,1025,602
43,1031,611
44,1031,612
45,1039,393
46,1039,394
47,1087,647
48,1087,648
49,1202,683
50,1202,684
51,1208,689
52,1208,690
53,1263,757
54,1263,758
55,1269,729
56,1269,730
57,1281,727
58,1281,728
59,1297,747
60,1297,748
61,1298,749
62,1298,750
63,1364,755
64,1364,756
65,1371,953
66,1371,954
67,1444,2345
68,1444,2346
69,1463,1495
70,1463,1496
71,1496,2365
72,1496,2366
73,1500,2363
74,1500,2364
75,1526,2367
76,1526,2368
77,1551,2369
78,1551,2370
79,1553,2371
80,1553,2372
81,1740,2417
82,1740,2418
83,1745,2415
84,1745,2416
85,1776,2419
86,1776,2420
87,1779,2421
88,1779,2422
89,1861,1901
90,1861,1902
91,1866,2445
92,1866,2446
93,1872,1913
94,1872,1914
95,1892,2447
96,1892,2448
97,1927,2451
98,1927,2452
99,2104,2485
100,2104,2486
101,2114,2487
102,2114,2488
103,2294,2523
104,2294,2524
105,2313,2527
106,2313,2528
107,2479,2549
108,2479,2550
109,2500,1221
110,2500,1222
111,2543,2551
112,2543,2552
113,2569,2559
114,2569,2560
115,2689,2583
116,2689,2584
117,2693,2585
118,2693,2586
119,2783,2613
120,2783,2614
121,2797,2593
122,2797,2594
123,2835,2615
124,2835,2616
125,2844,1355
126,2844,1356
127,2854,2617
128,2854,2618
129,2873,2621
130,2873,2622
131,2879,2619
132,2879,2620
133,3000,859
134,3000,860
135,3115,235
