OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
1,3,1103690289751,-87.938329,42.957537
2,5728,110459348781,-87.938329,42.957537
3,4,1103410601970,-87.937779,42.955233
4,25424,110459336425,-87.937779,42.955233
5,16,110459347917,-87.95565,42.948587
6,1299,1105319662518,-87.95565,42.948587
7,22,110459348182,-87.954292,42.95169
8,50,110459348183,-87.954292,42.95169
9,22,110459348182,-87.954261,42.950456
10,53,110459347614,-87.954261,42.950456
11,54,110459347614,-87.957342,42.950091
12,26000,110459346848,-87.957342,42.950091
13,60,1103690289373,-87.991417,43.181786
14,992,1103690289374,-87.991417,43.181786
15,67,110459348902,-87.969987,43.170708
16,1908,110459344129,-87.969987,43.170708
17,70,110459348779,-87.90666,43.163365
18,36906,110459348478,-87.90666,43.163365
19,128,110459348927,-87.934329,43.132691
20,29956,110459348151,-87.934329,43.132691
21,135,110459344107,-88.054697,42.926703
22,19242,110459342142,-88.054697,42.926703
23,143,1103716677046,-87.958904,42.927383
24,24093,1105319714290,-87.958904,42.927383
25,143,1103716677046,-87.958876,42.926911
26,28277,1103716677021,-87.958876,42.926911
27,148,110459346555,-87.970061,42.87684
28,3128,110459336987,-87.970061,42.87684
29,181,1103026326382,-88.002472,42.940485
30,3187,110459341416,-88.002472,42.940485
31,195,1102390030486,-87.989229,42.943438
32,7254,1102390030487,-87.989229,42.943438
33,227,110459348923,-88.001041,42.947134
34,4062,110459346366,-88.001041,42.947134
35,228,1103747760608,-87.999634,42.948672
36,3269,1103747760607,-87.999634,42.948672
37,230,110459341420,-88.006514,42.942123
38,2202,110459338620,-88.006514,42.942123
39,244,1102382665971,-88.063981,42.964163
40,17056,1102213787101,-88.063981,42.964163
41,263,110459348827,-88.03279,42.946102
42,4140,110459348828,-88.03279,42.946102
43,449,110459347553,-87.926681,42.896885
44,28553,110459342479,-87.926681,42.896885
45,473,110459346170,-87.975729,42.976894
46,1621,110459348903,-87.975729,42.976894
47,482,110459341872,-87.857548,42.973665
48,28482,110459346468,-87.857548,42.973665
49,484,110459346812,-87.879827,42.928216
50,1422,110459342518,-87.879827,42.928216
51,485,110459342779,-87.873501,42.928786
52,2594,110459341745,-87.873501,42.928786
53,492,110459342519,-87.879631,42.916274
54,2597,110459340334,-87.879631,42.916274
55,501,110459339875,-87.872922,42.917124
56,6345,110459336309,-87.872922,42.917124
57,505,110459339996,-87.862899,42.928634
58,4288,110459342778,-87.862899,42.928634
59,507,110459336141,-87.86401,42.922519
60,3519,1102653469160,-87.86401,42.922519
61,510,110459336215,-87.862965,42.907021
62,7673,110459343913,-87.862965,42.907021
63,511,110459336215,-87.863044,42.905265
64,4304,110459347352,-87.863044,42.905265
65,513,110459346545,-87.859358,42.906083
66,3475,110459346547,-87.859358,42.906083
