OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,LatStart,LongStart,LatEnd,LongEnd,SegLength,Shape_Length
1,1103690289752,19th St Pvt,M,S1400,42.956981,-87.937751,42.955854,-87.938082,156.7086165,0.001401974
2,1103410600564,19th St Pvt,M,S1400,42.956699,-87.936245,42.956981,-87.937751,142.0398569,0.001553659
3,1103690289751,19th St Pvt,M,S1400,42.957537,-87.938329,42.956981,-87.937751,107.8636419,0.001024055
4,1103410601970,19th St Pvt,M,S1400,42.955233,-87.937779,42.955852,-87.93667,133.319678,0.001358
5,110459340658,Upper Pkwy N,M,S1400,43.052964,-87.990042,43.052971,-87.992984,616.9102449,0.003361854
6,110459340658,Upper Pkwy N,M,S1400,43.052964,-87.990042,43.052971,-87.992984,616.9102449,0.002344467
7,110459339446,118th Ct N,M,S1400,42.928311,-88.061936,42.92831,-88.06122,63.92341547,0.000716004
8,110459347943,Chapel Hill Ct N,M,S1400,42.907421,-88.045186,42.907409,-88.047178,177.9073869,0.001992036
9,110459342150,Robert Ct N,M,S1400,42.863547,-87.908096,42.863808,-87.908394,41.40955739,0.00039614
10,110459341093,Carter Cir N,M,S1400,42.912026,-88.005669,42.912055,-88.007871,196.6740447,0.001187102
11,110459341093,Carter Cir N,M,S1400,42.912026,-88.005669,42.912055,-88.007871,196.6740447,0.001015097
12,110459347545,W Waterford Sq N,M,S1740,42.972723,-88.023017,42.972718,-88.027767,423.7649687,0.004750004
13,110459342766,Camelot Ln S,M,S1740,42.951663,-87.955039,42.950475,-87.955045,144.33266,0.001188017
14,110459347917,Woodbridge Ln S,M,S1740,42.950187,-87.956373,42.948587,-87.95565,281.8000891,0.000547789
15,110459347917,Woodbridge Ln S,M,S1740,42.950187,-87.956373,42.948587,-87.95565,281.8000891,0.001452252
16,110459347917,Woodbridge Ln S,M,S1740,42.950187,-87.956373,42.948587,-87.95565,281.8000891,0.000731617
17,110459339448,118th Ct S,M,S1400,42.927313,-88.061921,42.927328,-88.061247,60.20257704,0.000674172
18,110459341095,Carter Cir S,M,S1400,42.911652,-88.007833,42.910951,-88.005855,265.5586771,0.001856715
